date, timestamp, segment, breathrate
20200401191419, 3814.96855345912,1,4.31674208144796
20200401191419, 3821.63522012579,1,6.2970297029703
20200401191419, 3827.45283018868,1,4.80604534005038
20200401191419, 6612.10691823899,2,5.6283185840708
20200401191419, 6616.66666666667,2,8.01680672268908
20200401191419, 6620.94339622641,2,6.79003558718861
20200401191419, 7001.50943396226,3,6.53424657534247
20200401191419, 7005.47169811321,3,6.1747572815534
20200401191419, 7009.27672955975,3,7.7246963562753
20200401191419, 7013.7106918239,3,6.6830122591944
20200401191419, 7016.82389937107,3,7.83572895277207
20200401191419, 7210.81761006289,4,7.2824427480916
20200401191419, 7214.62264150943,4,7.11940298507463
20200401191419, 7229.52830188679,4,3.20672268907563
20200401191419, 7232.04402515723,4,4.64233576642336
20200401191419, 7234.77987421384,4,5.00787401574803
20200401191419, 7366.72955974843,5,16.448275862069
20200401191419, 7369.62264150943,5,12.8918918918919
20200401191419, 7372.16981132075,5,11.028901734104
20200401191419, 7375.0,5,11.9623824451411
20200401191419, 7377.07547169811,5,11.5987841945289
20200401191419, 7382.23270440252,5,9.51620947630923
20200401191419, 7385.53459119497,5,8.97882352941176
20200401191419, 7388.99371069182,5,8.5752808988764
20200401191419, 7392.89308176101,5,7.58648111332008
20200401191419, 7395.25157232704,5,9.21739130434783
20200401191419, 7397.76729559748,5,9.80976863753213
20200401191419, 7398.42767295597,5,12.72
20200401191419, 7429.62264150943,6,7.31034482758621
20200401191419, 7435.06289308176,6,5.98119122257053
20200401191419, 7442.10691823899,6,4.80604534005038
20200401191419, 7445.18867924528,6,5.95319812792512
20200401191419, 7507.86163522013,7,10.9028571428571
20200401191419, 7510.78616352201,7,10.659217877095
20200401191419, 7514.8427672956,7,8.59459459459459
20200401191419, 7519.71698113208,7,8.24190064794816
20200401191419, 7523.23899371069,7,7.80368098159509
20200401191419, 7527.51572327044,7,7.17293233082707
20200401191419, 7538.52201257862,7,5.06772908366534
20200401191419, 7541.4465408805,7,5.52243125904486
20200401191419, 7544.68553459119,7,5.59530791788856
20200401191419, 7548.08176100629,7,5.8348623853211
20200401191419, 7551.1320754717,7,9.51620947630923
20200401191419, 7599.11949685535,8,5.088
20200401191419, 7601.69811320755,8,8.67272727272727
20200401191419, 7604.59119496855,8,10.9655172413793
20200401191419, 7610.50314465409,8,7.632
20200401191419, 7614.55974842767,8,7.77189409368635
20200401191419, 7625.22012578616,8,5.10160427807487
20200401191419, 7630.81761006289,8,4.57553956834532
20200401191419, 7635.69182389937,8,4.76404494382022
20200401191419, 7638.99371069182,8,4.91119691119691
20200401191419, 7644.05660377358,8,6.37061769616027
